,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,result
0,0f63e0c3-9565-4c4a-aded-49b511397c03,lewis de ocampo,https://play-lh.googleusercontent.com/a-/ALV-UjVAFFLG3tcM1CT-saDsmy3HWisYxxHjwM1dqP9ADaI00AgitgON,I really like it. But why is it always crashing on my S20 ultra. And always says subscribe when I already subscribe. I have to close and open the app again to work properly. But in a few minutes it will say Subscribe again when I already subscribe. Some words in the app not showing so it's hard for me to navigate,0.9993434548377991,0,6.0.1,2024-11-10 22:35:58,,,6.0.1,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9993434548377991}]"
1,d0379e6a-cb80-4e70-91ba-fe25952f82fb,Andrew Coffey,https://play-lh.googleusercontent.com/a-/ALV-UjVpZa_ZQEpOK4093_qttxUKc0KXFwBUNNYbVn0DWBvGeeDBmjPi,not free,0.9971621036529541,0,,2024-11-09 04:07:53,,,,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9971621036529541}]"
2,116d668e-b0c9-4c01-8196-8eaabe29b906,Salami Saheed,https://play-lh.googleusercontent.com/a/ACg8ocJXWC-qusi43VGkt56izWW2PtUSefxhddu3WI_fXBdHXlVCYA=mo,I can't imagine how much I have learned about electricity and I to be an Electrician from this magnificent app. The app didn't leave any stone unturned. it treated every module in details. please just work on the frequent rebooting on the app update.,0.998816728591919,0,5.3.4,2024-11-07 19:06:00,,,5.3.4,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998816728591919}]"
3,8a2028f3-916c-47bf-a568-267210cae2aa,Bill Fitzgerald,https://play-lh.googleusercontent.com/a/ACg8ocKl2c-MI6BMEf5zAKZ_UUjJMMaDtOjPjWSNoynYSoGk16cU=mo,awesome app! got 608 cert and other training on it! thank you!,0.998874843120575,0,6.0.1,2024-11-07 08:59:23,,,6.0.1,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998874843120575}]"
4,7f0a3992-49cd-4a40-8345-4259d9ecaf29,dj Ovamarz,https://play-lh.googleusercontent.com/a-/ALV-UjW6P490kfqj2aBawCzkc5u-WZjL4tt7ls6IAv_UMbaF6B3_Cs8,uhhh,0.997138500213623,0,6.0.1,2024-11-07 00:48:55,,,6.0.1,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.997138500213623}]"
5,1accd0cc-6efe-49d9-bfdc-a18eea12b3b6,Nicolas Bowman,https://play-lh.googleusercontent.com/a/ACg8ocK87Olj4syFgjmCeFzj_2EsG258sXObD6HrtkLQVR9GAENoBw=mo,Now that the update is allowing me to get on school closer to when I need this done. The app is letting me get to every program with out a 30 minute to 1 hour wait time.,0.9987683892250061,0,6.0.1,2024-11-06 04:50:27,"Thanks for your review and we appreciate you taking the time. We had a brief intermission while our team was updating our servers, but everything is back up and running now. Please try to hop into the app when you get a chance. If you run into any issues, you can always reach out to us at info@skillcatapp.com for assistance!",2024-11-06 02:48:00,6.0.1,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9987683892250061}]"
6,d3607d5f-3578-4117-8e5a-e36f2cda82e0,Joseph Seymour,https://play-lh.googleusercontent.com/a/ACg8ocKN6QlWIBv56AKT28qGVGrfom0GkkAX9yerQsBPu2XOq6RlYA=mo,great program for refreshing yourself on your carpentry trade knowledge or familiarizing yourself with a new trade.,0.998884379863739,0,6.0.1,2024-11-06 03:27:58,,,6.0.1,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998884379863739}]"
7,9a315b9e-6f08-43c4-adde-ed6bd63f77e1,Divine Mapfinya,https://play-lh.googleusercontent.com/a/ACg8ocIesRBFeeZ3v4hBYNH_YFzA4TaxzbUFHNzUX4qsyEJkyaf9Gg=mo,It's great,0.998671293258667,0,6.0.1,2024-11-05 11:33:36,,,6.0.1,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998671293258667}]"
8,01be3b11-e040-4e66-8381-335e77050129,Imassive Crew,https://play-lh.googleusercontent.com/a-/ALV-UjUHjPVrb4o-9zhwlXFBTFBoIDvsMxoNiR6eiC6fycm4qMkXRCQ,Very powerful,0.9980695843696594,0,,2024-11-04 07:09:43,,,,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9980695843696594}]"
9,19c335b6-ef75-474b-a9a7-859b5e37d36a,Jy L,https://play-lh.googleusercontent.com/a/ACg8ocK_CDoKJHWW9B-HDfLwre2pGShQq2r9WBe_jwoULcI0M6okHA=mo,Went through the 3-day trial. The information was great. My 3-day trial expired so I bought the monthly subscription and now the app will not open. If I uninstall the app and reinstall it will I still be able to get the monthly subscription?,0.9990474581718445,1,6.0.1,2024-11-02 02:23:43,"Hey there, subscriptions are tied to your account, so you won't lose it just by uninstalling and reinstalling. Please reach out to us at info@skillcatapp.com so we can dive into your issue and get it fixed ASAP!",2024-11-06 02:48:53,6.0.1,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9990474581718445}]"
10,2915151a-f2d3-4d31-a6e8-c1092fd0ad87,Clint Gazzaway,https://play-lh.googleusercontent.com/a/ACg8ocJMAmJPpKkltAty_2LHlCqpMRnfdYMZ8Ug7G4lcVeMTfIt4MQ=mo,"Easy to understand courses, that you can do at your own speed.",0.9989049434661865,0,6.0.1,2024-10-31 08:32:08,,,6.0.1,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989049434661865}]"
